timestep_superordinate_dispatch,region_from,region_to,carrier,variable,value
2050,AT,DE,electricity < electricity_central,capaExc,9.0
2050,BE,DE,electricity < electricity_central,capaExc,2.0
2050,CH,DE,electricity < electricity_central,capaExc,5.4
2050,CZ,DE,electricity < electricity_central,capaExc,2.6
2050,DE,AT,electricity < electricity_central,capaExc,9.0
2050,DE,BE,electricity < electricity_central,capaExc,2.0
2050,DE,CH,electricity < electricity_central,capaExc,3.5
2050,DE,CZ,electricity < electricity_central,capaExc,2.0
2050,DE,DK,electricity < electricity_central,capaExc,4.5
2050,DE,FR,electricity < electricity_central,capaExc,2.3
2050,DE,LU,electricity < electricity_central,capaExc,2.3
2050,DE,NL,electricity < electricity_central,capaExc,4.25
2050,DE,NO,electricity < electricity_central,capaExc,1.4
2050,DE,PL,electricity < electricity_central,capaExc,2.5
2050,DE,SE,electricity < electricity_central,capaExc,0.615
2050,DE,UK,electricity < electricity_central,capaExc,0.0
2050,DK,DE,electricity < electricity_central,capaExc,4.485
2050,FR,DE,electricity < electricity_central,capaExc,1.8
2050,LU,DE,electricity < electricity_central,capaExc,2.3
2050,NL,DE,electricity < electricity_central,capaExc,4.25
2050,NO,DE,electricity < electricity_central,capaExc,1.4
2050,PL,DE,electricity < electricity_central,capaExc,4.5
2050,SE,DE,electricity < electricity_central,capaExc,0.615
2050,UK,DE,electricity < electricity_central,capaExc,0.0
2050,AT,CH,electricity < electricity_central,capaExc,1.2
2050,AT,CZ,electricity < electricity_central,capaExc,0.9
2050,AT,HU,electricity < electricity_central,capaExc,0.8
2050,AT,IT,electricity < electricity_central,capaExc,0.705
2050,AT,SI,electricity < electricity_central,capaExc,1.04
2050,AT,SK,electricity < electricity_central,capaExc,0.0
2050,BE,FR,electricity < electricity_central,capaExc,3.3
2050,BE,LU,electricity < electricity_central,capaExc,0.68
2050,BE,NL,electricity < electricity_central,capaExc,3.9
2050,BE,NO,electricity < electricity_central,capaExc,0.0
2050,BE,UK,electricity < electricity_central,capaExc,1.0
2050,BG,GR,electricity < electricity_central,capaExc,1.4
2050,BG,NONEU_Balkan,electricity < electricity_central,capaExc,1.744
2050,BG,RO,electricity < electricity_central,capaExc,0.3
2050,BG,TR,electricity < electricity_central,capaExc,0.7
2050,CH,AT,electricity < electricity_central,capaExc,1.2
2050,CH,FR,electricity < electricity_central,capaExc,1.3
2050,CH,IT,electricity < electricity_central,capaExc,4.24
2050,CZ,AT,electricity < electricity_central,capaExc,0.8
2050,CZ,PL,electricity < electricity_central,capaExc,0.6
2050,CZ,SK,electricity < electricity_central,capaExc,1.8
2050,DK,NL,electricity < electricity_central,capaExc,0.7
2050,DK,NO,electricity < electricity_central,capaExc,1.64
2050,DK,PL,electricity < electricity_central,capaExc,0.0
2050,DK,SE,electricity < electricity_central,capaExc,2.44
2050,DK,UK,electricity < electricity_central,capaExc,0.0
2050,EE,FI,electricity < electricity_central,capaExc,1.016
2050,EE,LV,electricity < electricity_central,capaExc,1.5
2050,EE,SE,electricity < electricity_central,capaExc,0.0
2050,ES,FR,electricity < electricity_central,capaExc,4.8
2050,ES,IT,electricity < electricity_central,capaExc,0.0
2050,ES,PT,electricity < electricity_central,capaExc,6.1
2050,ES,UK,electricity < electricity_central,capaExc,0.0
2050,FI,EE,electricity < electricity_central,capaExc,1.0
2050,FI,NO,electricity < electricity_central,capaExc,0.0
2050,FI,SE,electricity < electricity_central,capaExc,3.2
2050,FR,BE,electricity < electricity_central,capaExc,4.8
2050,FR,CH,electricity < electricity_central,capaExc,3.15
2050,FR,ES,electricity < electricity_central,capaExc,5.0
2050,FR,IT,electricity < electricity_central,capaExc,6.8
2050,FR,LU,electricity < electricity_central,capaExc,0.38
2050,FR,UK,electricity < electricity_central,capaExc,2.0
2050,GR,BG,electricity < electricity_central,capaExc,0.64
2050,GR,IT,electricity < electricity_central,capaExc,0.5
2050,GR,NONEU_Balkan,electricity < electricity_central,capaExc,1.35
2050,GR,TR,electricity < electricity_central,capaExc,0.66
2050,HR,HU,electricity < electricity_central,capaExc,2.0
2050,HR,IT,electricity < electricity_central,capaExc,0.0
2050,HR,NONEU_Balkan,electricity < electricity_central,capaExc,1.3
2050,HR,SI,electricity < electricity_central,capaExc,1.64
2050,HU,AT,electricity < electricity_central,capaExc,0.8
2050,HU,HR,electricity < electricity_central,capaExc,2.0
2050,HU,NONEU_Balkan,electricity < electricity_central,capaExc,0.6
2050,HU,RO,electricity < electricity_central,capaExc,1.617
2050,HU,SI,electricity < electricity_central,capaExc,2.4
2050,HU,SK,electricity < electricity_central,capaExc,2.8
2050,IE,UK,electricity < electricity_central,capaExc,1.75
2050,IT,AT,electricity < electricity_central,capaExc,0.535
2050,IT,CH,electricity < electricity_central,capaExc,1.91
2050,IT,ES,electricity < electricity_central,capaExc,0.0
2050,IT,FR,electricity < electricity_central,capaExc,4.31
2050,IT,GR,electricity < electricity_central,capaExc,0.5
2050,IT,HR,electricity < electricity_central,capaExc,0.0
2050,IT,NONEU_Balkan,electricity < electricity_central,capaExc,0.8
2050,IT,SI,electricity < electricity_central,capaExc,0.68
2050,LT,LV,electricity < electricity_central,capaExc,1.2
2050,LT,PL,electricity < electricity_central,capaExc,1.0
2050,LT,SE,electricity < electricity_central,capaExc,0.7
2050,LU,BE,electricity < electricity_central,capaExc,0.18
2050,LU,FR,electricity < electricity_central,capaExc,0.0
2050,LV,EE,electricity < electricity_central,capaExc,1.5
2050,LV,LT,electricity < electricity_central,capaExc,1.5
2050,LV,SE,electricity < electricity_central,capaExc,0.0
2050,NL,BE,electricity < electricity_central,capaExc,2.9
2050,NL,DK,electricity < electricity_central,capaExc,0.7
2050,NL,NO,electricity < electricity_central,capaExc,0.7
2050,NL,UK,electricity < electricity_central,capaExc,1.0
2050,NO,BE,electricity < electricity_central,capaExc,0.0
2050,NO,DK,electricity < electricity_central,capaExc,1.64
2050,NO,FI,electricity < electricity_central,capaExc,0.0
2050,NO,NL,electricity < electricity_central,capaExc,0.7
2050,NO,SE,electricity < electricity_central,capaExc,3.695
2050,NO,UK,electricity < electricity_central,capaExc,0.0
2050,NONEU_Balkan,BG,electricity < electricity_central,capaExc,1.144
2050,NONEU_Balkan,GR,electricity < electricity_central,capaExc,1.1
2050,NONEU_Balkan,HR,electricity < electricity_central,capaExc,1.35
2050,NONEU_Balkan,HU,electricity < electricity_central,capaExc,0.6
2050,NONEU_Balkan,IT,electricity < electricity_central,capaExc,0.8
2050,NONEU_Balkan,RO,electricity < electricity_central,capaExc,0.8
2050,PL,CZ,electricity < electricity_central,capaExc,0.8
2050,PL,DK,electricity < electricity_central,capaExc,0.0
2050,PL,LT,electricity < electricity_central,capaExc,1.0
2050,PL,SE,electricity < electricity_central,capaExc,0.6
2050,PL,SK,electricity < electricity_central,capaExc,0.99
2050,PT,ES,electricity < electricity_central,capaExc,4.5
2050,RO,BG,electricity < electricity_central,capaExc,0.3
2050,RO,HU,electricity < electricity_central,capaExc,1.435
2050,RO,NONEU_Balkan,electricity < electricity_central,capaExc,1.0
2050,RO,TR,electricity < electricity_central,capaExc,0.0
2050,SE,DK,electricity < electricity_central,capaExc,1.98
2050,SE,EE,electricity < electricity_central,capaExc,0.0
2050,SE,FI,electricity < electricity_central,capaExc,3.2
2050,SE,LT,electricity < electricity_central,capaExc,0.7
2050,SE,LV,electricity < electricity_central,capaExc,0.0
2050,SE,NO,electricity < electricity_central,capaExc,3.995
2050,SE,PL,electricity < electricity_central,capaExc,0.6
2050,SI,AT,electricity < electricity_central,capaExc,1.04
2050,SI,HR,electricity < electricity_central,capaExc,1.5
2050,SI,HU,electricity < electricity_central,capaExc,2.4
2050,SI,IT,electricity < electricity_central,capaExc,0.73
2050,SK,AT,electricity < electricity_central,capaExc,0.0
2050,SK,CZ,electricity < electricity_central,capaExc,1.1
2050,SK,HU,electricity < electricity_central,capaExc,3.3
2050,SK,PL,electricity < electricity_central,capaExc,0.99
2050,TR,BG,electricity < electricity_central,capaExc,0.3
2050,TR,GR,electricity < electricity_central,capaExc,0.58
2050,TR,RO,electricity < electricity_central,capaExc,0.0
2050,UK,BE,electricity < electricity_central,capaExc,1.0
2050,UK,DK,electricity < electricity_central,capaExc,0.0
2050,UK,ES,electricity < electricity_central,capaExc,0.0
2050,UK,FR,electricity < electricity_central,capaExc,2.0
2050,UK,IE,electricity < electricity_central,capaExc,1.7
2050,UK,NL,electricity < electricity_central,capaExc,1.0
2050,UK,NO,electricity < electricity_central,capaExc,0.0
2050,AT,HU,gas < hydrogen,capaExc,7.7
2050,AT,IT,gas < hydrogen,capaExc,68.0
2050,AT,SI,gas < hydrogen,capaExc,6.7
2050,AT,SK,gas < hydrogen,capaExc,14.7
2050,BE,FR,gas < hydrogen,capaExc,51.7
2050,BE,LU,gas < hydrogen,capaExc,2.3
2050,BE,NL,gas < hydrogen,capaExc,23.4
2050,BE,UK,gas < hydrogen,capaExc,47.8
2050,BG,RO,gas < hydrogen,capaExc,0.9
2050,CH,IT,gas < hydrogen,capaExc,37.0
2050,CZ,PL,gas < hydrogen,capaExc,1.7
2050,CZ,SK,gas < hydrogen,capaExc,41.4
2050,DK,NL,gas < hydrogen,capaExc,23.5
2050,DK,SE,gas < hydrogen,capaExc,5.2
2050,EE,LV,gas < hydrogen,capaExc,11.9
2050,ES,FR,gas < hydrogen,capaExc,13.4
2050,ES,PT,gas < hydrogen,capaExc,8.6
