timestep_superordinate_dispatch,region_dispatch,technology,carrier,variable,value
2050,AT < AT,none,electricity < electricity_central,demand,-37.854091130865044
2050,BE < BE,none,electricity < electricity_central,demand,-45.30997832973787
2050,BG < BG,none,electricity < electricity_central,demand,-31.007816397816935
2050,CH < CH,none,electricity < electricity_central,demand,-77.01878832505705
2050,CZ < CZ,none,electricity < electricity_central,demand,-43.070894793438974
2050,DK < DK,none,electricity < electricity_central,demand,-35.8569326035731
2050,ES < ES,none,electricity < electricity_central,demand,-234.0935189719004
2050,FI < FI,none,electricity < electricity_central,demand,-18.488872586297962
2050,FR < FR,none,electricity < electricity_central,demand,-474.40768289193
2050,GR < GR,none,electricity < electricity_central,demand,-52.61557086902212
2050,HR < HR,none,electricity < electricity_central,demand,-17.890948578885016
2050,HU < HU,none,electricity < electricity_central,demand,-28.64352528262094
2050,IE < IE,none,electricity < electricity_central,demand,-22.723903959316946
2050,IT < IT,none,electricity < electricity_central,demand,-123.44111937548114
2050,LU < LU,none,electricity < electricity_central,demand,-6.4111156984490085
2050,NL < NL,none,electricity < electricity_central,demand,-66.16653177919383
2050,NO < NO,none,electricity < electricity_central,demand,-94.82273855475113
2050,PL < PL,none,electricity < electricity_central,demand,-139.03691637294978
2050,PT < PT,none,electricity < electricity_central,demand,-43.14713252900025
2050,RO < RO,none,electricity < electricity_central,demand,-46.58098193762203
2050,SE < SE,none,electricity < electricity_central,demand,-106.25463873674693
2050,SI < SI,none,electricity < electricity_central,demand,-7.788454403901986
2050,SK < SK,none,electricity < electricity_central,demand,-17.046116009824953
2050,UK < UK,none,electricity < electricity_central,demand,-279.835814953529
2050,EE < EE,none,electricity < electricity_central,demand,-6.138450157935995
2050,LT < LT,none,electricity < electricity_central,demand,-4.185590263680021
2050,LV < LV,none,electricity < electricity_central,demand,-5.39348992842202
2050,NONEU_Balkan < NONEU_Balkan,none,electricity < electricity_central,demand,-43.42706451387087
2050,TR < TR,none,electricity < electricity_central,demand,-215.32051265879988
2050,AT,none,gas < synthGas,demand,-4.05059527596003
2050,BE,none,gas < synthGas,demand,-30.357408532200097
2050,BG,none,gas < synthGas,demand,-10.185683272319974
2050,CH,none,gas < synthGas,demand,-4.850373788879994
2050,CZ,none,gas < synthGas,demand,-4.961361000359967
2050,DK,none,gas < synthGas,demand,-1.147790011320009
2050,EE,none,gas < synthGas,demand,-0.1943219236800007
2050,ES,none,gas < synthGas,demand,-35.94387486311984
2050,FI,none,gas < synthGas,demand,-4.52594862552004
2050,FR,none,gas < synthGas,demand,-72.28895157671954
2050,GR,none,gas < synthGas,demand,-0.8202906398400027
2050,HR,none,gas < synthGas,demand,-2.0240063833199904
2050,HU,none,gas < synthGas,demand,-10.891174234799957
2050,IE,none,gas < synthGas,demand,-1.2616354005600048
2050,IT,none,gas < synthGas,demand,-70.94494333824022
2050,LT,none,gas < synthGas,demand,-0.25493101464000245
2050,LU,none,gas < synthGas,demand,-0.7705108448399958
2050,LV,none,gas < synthGas,demand,-0.4131120603599979
2050,NL,none,gas < synthGas,demand,-34.72514007335998
2050,NO,none,gas < synthGas,demand,-1.8180567422400142
2050,NONEU_Balkan,none,gas < synthGas,demand,-14.318661600359873
2050,PL,none,gas < synthGas,demand,-16.33391811900007
2050,PT,none,gas < synthGas,demand,-2.8469450047200118
2050,RO,none,gas < synthGas,demand,-37.24599369263985
2050,SE,none,gas < synthGas,demand,-4.554967623479987
2050,SI,none,gas < synthGas,demand,-1.3802718790799962
2050,SK,none,gas < synthGas,demand,-33.67052765039998
2050,TR,none,gas < synthGas,demand,-24.664846932959975
2050,UK,none,gas < synthGas,demand,-48.02218543764043
2050,AT,none,gas < hydrogen,demand,-2.4848818881600216
2050,BE,none,gas < hydrogen,demand,-31.32454476023979
2050,BG,none,gas < hydrogen,demand,-1.3432637523600075
2050,CH,none,gas < hydrogen,demand,-3.785227684919973
2050,CZ,none,gas < hydrogen,demand,-11.298241903919973
2050,DK,none,gas < hydrogen,demand,-3.0921310099200183
2050,EE,none,gas < hydrogen,demand,-0.43548826272000346
2050,ES,none,gas < hydrogen,demand,-10.046079033000076
2050,FI,none,gas < hydrogen,demand,-2.085567782640013
2050,FR,none,gas < hydrogen,demand,-33.49294345872018
2050,GR,none,gas < hydrogen,demand,-4.526226080999996
2050,HR,none,gas < hydrogen,demand,-3.126668247240012
2050,HU,none,gas < hydrogen,demand,-3.2037687477600127
2050,IE,none,gas < hydrogen,demand,-3.4617561088800213
2050,IT,none,gas < hydrogen,demand,-36.38489426867968
2050,LT,none,gas < hydrogen,demand,-0.9071680712399948
2050,LU,none,gas < hydrogen,demand,-0.4398051469200009
2050,LV,none,gas < hydrogen,demand,-0.9773629936800039
2050,NL,none,gas < hydrogen,demand,-9.028089025200027
2050,NO,none,gas < hydrogen,demand,-4.834871698680011
2050,NONEU_Balkan,none,gas < hydrogen,demand,-3.518341372679986
2050,PL,none,gas < hydrogen,demand,-35.825155821600205
2050,PT,none,gas < hydrogen,demand,-1.9844850651599886
2050,RO,none,gas < hydrogen,demand,-3.736700219519999
2050,SE,none,gas < hydrogen,demand,-5.554688379719988
2050,SI,none,gas < hydrogen,demand,-1.0336570750800094
